Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/30/2020 12:00:00 AM,SCHL,5,7,12,$0.15,0.41 %
1/30/2020 12:00:00 AM,STAG,4.9,7,11.857142857142858,$0.12,0.37 %
1/30/2020 12:00:00 AM,SCM,4.9,7,11.857142857142858,$0.11,0.78 %
1/30/2020 12:00:00 AM,SKT,5,6,6,$0.35,2.31 %
1/30/2020 12:00:00 AM,VET,4.9,7,11.857142857142858,$0.18,1.08 %
1/30/2020 12:00:00 AM,VRTS,5,6,6,$0.67,0.52 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/31/2020 12:00:00 AM,AON,5,8,14,$0.44,0.21 %
1/31/2020 12:00:00 AM,APOG,5,4,4,$0.19,0.54 %
1/31/2020 12:00:00 AM,BMO,5,8,14,$0.82,1.03 %
1/31/2020 12:00:00 AM,CASY,5,8,14,$0.32,0.19 %
1/31/2020 12:00:00 AM,C,2.8,5,2.7777777777777777,$0.51,0.63 %
1/31/2020 12:00:00 AM,DGICA,5,8,14,$0.14,1.00 %
1/31/2020 12:00:00 AM,DGICB,5,8,14,$0.13,0.99 %
1/31/2020 12:00:00 AM,GT,5,8,14,$0.16,1.07 %
1/31/2020 12:00:00 AM,PNW,5,8,14,$0.78,0.84 %
1/31/2020 12:00:00 AM,PNM,4.4,7,11.375,$0.31,0.60 %
1/31/2020 12:00:00 AM,O,4.7,7,11.714285714285715,$0.23,0.30 %
